id,rank,title_cn,title_en,rating,rating_count,director,actors,summary,detail_url,release_year,runtime,genre,imdb_rating,poster_path,created_at
74,74,西西里的美丽传说,Malèna,8.9,1095090,朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ...,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   莫妮卡·贝鲁奇 Monica ...,,https://movie.douban.com/subject/1292402/,2000,108分钟,剧情 / 情色 / 战争,7.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\074_西西里的美丽传说.jpg,2026-05-13 14:52:19
75,75,看不见的客人,Contratiempo,8.8,1443625,奥里奥尔·保罗 Oriol Paulo   主演: 马里奥·卡萨斯 Mario Casas / 阿...,导演: 奥里奥尔·保罗 Oriol Paulo   马里奥·卡萨斯 Mario Casas / 阿...,你以为你以为的就是你以为的。,https://movie.douban.com/subject/26580232/,2017,106分钟,剧情 / 悬疑 / 惊悚 / 犯罪,4.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\075_看不见的客人.jpg,2026-05-13 14:52:19
76,76,拯救大兵瑞恩,Saving Private Ryan,9.1,726427,史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   汤姆·汉克斯 Tom Hanks...,,https://movie.douban.com/subject/1292849/,1998,169分钟,剧情 / 战争,5.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\076_拯救大兵瑞恩.jpg,2026-05-13 14:52:19
77,77,沉默的羔羊,The Silence of the Lambs,8.9,1018360,乔纳森·戴米 Jonathan Demme   主演: 朱迪·福斯特 Jodie Foster / 安...,导演: 乔纳森·戴米 Jonathan Demme   朱迪·福斯特 Jodie Foster / 安...,,https://movie.douban.com/subject/1293544/,1991,118分钟,剧情 / 惊悚 / 犯罪,6.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\077_沉默的羔羊.jpg,2026-05-13 14:52:19
78,78,小鞋子,بچه های آسمان,9.2,467347,马基德·马基迪 Majid Majidi   主演: 默罕默德·阿米尔·纳吉 Mohamma...,导演: 马基德·马基迪 Majid Majidi   默罕默德·阿米尔·纳吉 Mohamma...,,https://movie.douban.com/subject/1303021/,1997,89分钟,剧情 / 家庭 / 儿童,9.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\078_小鞋子.jpg,2026-05-13 14:52:19
79,79,布达佩斯大饭店,The Grand Budapest Hotel,8.9,1087852,韦斯·安德森 Wes Anderson   主演: 拉尔夫·费因斯 Ralph Fiennes / ...,导演: 韦斯·安德森 Wes Anderson   拉尔夫·费因斯 Ralph Fiennes / ...,小清新的故事里注入了大历史的情怀。,https://movie.douban.com/subject/11525673/,2014,99分钟,剧情 / 喜剧 / 冒险,8.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\079_布达佩斯大饭店.jpg,2026-05-13 14:52:19
80,80,蝴蝶效应,The Butterfly Effect,8.9,1070499,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...,,人的命运被自己瞬间的抉择改变。,https://movie.douban.com/subject/1292343/,2004,113分钟,剧情 / 科幻 / 悬疑 / 惊悚,9.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\080_蝴蝶效应.jpg,2026-05-13 14:52:19
81,81,飞越疯人院,One Flew Over the Cuckoo's Nest,9.1,605424,米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...,导演: 米洛斯·福尔曼 Miloš Forman   杰克·尼科尔森 Jack Nichols...,,https://movie.douban.com/subject/1292224/,1975,133分钟,剧情,0.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\081_飞越疯人院.jpg,2026-05-13 14:52:19
82,82,还有明天,C'è ancora domani,9.3,374656,宝拉·柯特莱西 Paola Cortellesi   主演: 宝拉·柯特莱西 Paola Corte...,导演: 宝拉·柯特莱西 Paola Cortellesi   宝拉·柯特莱西 Paola Corte...,,https://movie.douban.com/subject/36445098/,2025,118分钟,剧情 / 喜剧 / 历史,0.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\082_还有明天.jpg,2026-05-13 14:52:19
83,83,禁闭岛,Shutter Island,8.9,1116460,Martin Scorsese   主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,导演: Martin Scorsese   莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,昔日翩翩少年，今日大腹便便。,https://movie.douban.com/subject/2334904/,2010,138分钟,剧情 / 悬疑 / 惊悚,0.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\083_禁闭岛.jpg,2026-05-13 14:52:19
84,84,心灵捕手,Good Will Hunting,9.0,817070,格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon / 罗宾·...,导演: 格斯·范·桑特 Gus Van Sant   马特·达蒙 Matt Damon / 罗宾·...,,https://movie.douban.com/subject/1292656/,1997,126分钟,剧情,0.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\084_心灵捕手.jpg,2026-05-13 14:52:19
85,85,致命魔术,The Prestige,8.9,966240,克里斯托弗·诺兰 Christopher Nolan   主演: 休·杰克曼 Hugh Jackman...,导演: 克里斯托弗·诺兰 Christopher Nolan   休·杰克曼 Hugh Jackman...,孪生蝙蝠侠大战克隆金刚狼。,https://movie.douban.com/subject/1780330/,2006,130分钟,剧情 / 悬疑 / 惊悚,0.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\085_致命魔术.jpg,2026-05-13 14:52:19
